ConformationTimeStamp,ITQ_Value 7,ITQ_Value 11,ITQ_Value 35,ITQ_Value 63,ActiveBinding
adrb2_459000,NA,NA,NA,NA,NA
adrb2_459200,NA,NA,NA,NA,NA
adrb2_459400,2,7,(39),(65),Y
adrb2_459600,NA,NA,NA,NA,NA
adrb2_459800,NA,NA,NA,NA,NA
adrb2_460000,NA,NA,NA,NA,NA
adrb2_460200,NA,NA,NA,NA,NA
adrb2_460400,NA,NA,NA,NA,NA
adrb2_460600,NA,NA,NA,NA,NA
adrb2_460800,0,2,30,(63),Y
adrb2_461000,NA,NA,NA,NA,NA
adrb2_461200,NA,NA,NA,NA,NA
adrb2_461400,NA,NA,NA,NA,NA
adrb2_461600,NA,NA,NA,NA,NA
adrb2_461800,NA,NA,NA,NA,NA
adrb2_462000,NA,NA,NA,NA,NA
adrb2_462200,1,3,(38),(65),Y
adrb2_462400,NA,NA,NA,NA,NA
adrb2_462600,NA,NA,NA,NA,NA
adrb2_462800,NA,NA,NA,NA,NA
adrb2_463000,NA,NA,NA,NA,NA
adrb2_463200,NA,NA,NA,NA,NA
adrb2_463400,NA,NA,NA,NA,NA
adrb2_463600,NA,NA,NA,NA,NA
adrb2_463800,NA,NA,NA,NA,NA
adrb2_464000,NA,NA,NA,NA,NA
adrb2_464200,NA,NA,NA,NA,NA
adrb2_464400,NA,NA,NA,NA,NA
adrb2_464600,NA,NA,NA,NA,NA
adrb2_464800,NA,NA,NA,NA,NA
adrb2_465000,NA,NA,NA,NA,NA
adrb2_465200,NA,NA,NA,NA,NA
adrb2_465400,4,(11),(40),(66),Y
adrb2_465600,NA,NA,NA,NA,NA
adrb2_465800,NA,NA,NA,NA,NA
adrb2_466000,NA,NA,NA,NA,NA
adrb2_466200,(8),(12),26,48,Y
adrb2_466400,NA,NA,NA,NA,NA
adrb2_466600,NA,NA,NA,NA,NA
adrb2_466800,NA,NA,NA,NA,NA
adrb2_467000,NA,NA,NA,NA,NA
adrb2_467200,1,10,34,(69),Y
adrb2_467400,NA,NA,NA,NA,NA
adrb2_467600,NA,NA,NA,NA,NA
adrb2_467800,NA,NA,NA,NA,NA
adrb2_468000,NA,NA,NA,NA,NA
adrb2_468200,NA,NA,NA,NA,NA
adrb2_468400,NA,NA,NA,NA,NA
adrb2_468600,NA,NA,NA,NA,NA
adrb2_468800,NA,NA,NA,NA,NA
adrb2_469000,NA,NA,NA,NA,NA
adrb2_469200,NA,NA,NA,NA,NA
adrb2_469400,NA,NA,NA,NA,NA
adrb2_469600,NA,NA,NA,NA,NA
adrb2_469800,NA,NA,NA,NA,NA
adrb2_470000,NA,NA,NA,NA,NA
adrb2_470200,NA,NA,NA,NA,NA
adrb2_470400,2,4,(53),(94),Y
adrb2_470600,NA,NA,NA,NA,NA
adrb2_470800,NA,NA,NA,NA,NA
adrb2_471000,NA,NA,NA,NA,NA
adrb2_471200,NA,NA,NA,NA,NA
adrb2_471400,4,7,34,(63),Y
adrb2_471600,NA,NA,NA,NA,NA
adrb2_471800,NA,NA,NA,NA,NA
adrb2_472000,NA,NA,NA,NA,NA
adrb2_472200,NA,NA,NA,NA,NA
adrb2_472400,NA,NA,NA,NA,NA
adrb2_472600,NA,NA,NA,NA,NA
adrb2_472800,3,7,(40),(73),Y
adrb2_473000,NA,NA,NA,NA,NA
adrb2_473200,NA,NA,NA,NA,NA
adrb2_473400,NA,NA,NA,NA,NA
adrb2_473600,NA,NA,NA,NA,NA
adrb2_473800,NA,NA,NA,NA,NA
adrb2_474000,NA,NA,NA,NA,NA
adrb2_474200,NA,NA,NA,NA,NA
adrb2_474400,NA,NA,NA,NA,NA
adrb2_474600,NA,NA,NA,NA,NA
adrb2_474800,NA,NA,NA,NA,NA
adrb2_475000,NA,NA,NA,NA,NA
adrb2_475200,NA,NA,NA,NA,NA
adrb2_475400,NA,NA,NA,NA,NA
adrb2_475600,NA,NA,NA,NA,NA
adrb2_475800,NA,NA,NA,NA,NA
adrb2_476000,NA,NA,NA,NA,NA
adrb2_476200,NA,NA,NA,NA,NA
adrb2_476400,NA,NA,NA,NA,NA
adrb2_476600,NA,NA,NA,NA,NA
adrb2_476800,NA,NA,NA,NA,NA
adrb2_477000,NA,NA,NA,NA,NA
adrb2_477200,NA,NA,NA,NA,NA
adrb2_477400,NA,NA,NA,NA,NA
adrb2_477600,NA,NA,NA,NA,NA
adrb2_477800,NA,NA,NA,NA,NA
adrb2_478000,NA,NA,NA,NA,NA
adrb2_478200,NA,NA,NA,NA,NA
adrb2_478400,NA,NA,NA,NA,NA
adrb2_478600,NA,NA,NA,NA,NA
adrb2_478800,3,9,(38),57,Y
adrb2_479000,NA,NA,NA,NA,NA
adrb2_479200,NA,NA,NA,NA,NA
adrb2_479400,NA,NA,NA,NA,NA
adrb2_479600,NA,NA,NA,NA,NA
adrb2_479800,NA,NA,NA,NA,NA
adrb2_480000,NA,NA,NA,NA,NA
adrb2_480200,NA,NA,NA,NA,NA
adrb2_480400,NA,NA,NA,NA,NA
adrb2_480600,NA,NA,NA,NA,NA
adrb2_480800,NA,NA,NA,NA,NA
adrb2_481000,NA,NA,NA,NA,NA
adrb2_481200,NA,NA,NA,NA,NA
adrb2_481400,NA,NA,NA,NA,NA
adrb2_481600,NA,NA,NA,NA,NA
adrb2_481800,NA,NA,NA,NA,NA
adrb2_482000,NA,NA,NA,NA,NA
adrb2_482200,NA,NA,NA,NA,NA
adrb2_482400,NA,NA,NA,NA,NA
adrb2_482600,NA,NA,NA,NA,NA
adrb2_482800,NA,NA,NA,NA,NA
adrb2_483000,NA,NA,NA,NA,NA
adrb2_483200,NA,NA,NA,NA,NA
adrb2_483400,1,3,31,(67),Y
adrb2_483600,NA,NA,NA,NA,NA
adrb2_483800,NA,NA,NA,NA,NA
adrb2_484000,NA,NA,NA,NA,NA
adrb2_484200,NA,NA,NA,NA,NA
adrb2_484400,NA,NA,NA,NA,NA
adrb2_484600,NA,NA,NA,NA,NA
adrb2_484800,NA,NA,NA,NA,NA
adrb2_485000,4,6,28,(66),Y
adrb2_485200,NA,NA,NA,NA,NA
adrb2_485400,NA,NA,NA,NA,NA
adrb2_485600,NA,NA,NA,NA,NA
adrb2_485800,NA,NA,NA,NA,NA
adrb2_486000,NA,NA,NA,NA,NA
adrb2_486200,NA,NA,NA,NA,NA
adrb2_486400,NA,NA,NA,NA,NA
adrb2_486600,NA,NA,NA,NA,NA
adrb2_486800,NA,NA,NA,NA,NA
adrb2_487000,NA,NA,NA,NA,NA
adrb2_487200,NA,NA,NA,NA,NA
adrb2_487400,NA,NA,NA,NA,NA
adrb2_487600,NA,NA,NA,NA,NA
adrb2_487800,NA,NA,NA,NA,NA
adrb2_488000,NA,NA,NA,NA,NA
adrb2_488200,NA,NA,NA,NA,NA
adrb2_488400,NA,NA,NA,NA,NA
adrb2_488800,NA,NA,NA,NA,NA
adrb2_489000,NA,NA,NA,NA,NA
adrb2_489200,NA,NA,NA,NA,NA
adrb2_489600,NA,NA,NA,NA,NA
adrb2_489800,NA,NA,NA,NA,NA
adrb2_490000,NA,NA,NA,NA,NA
adrb2_490200,NA,NA,NA,NA,NA
adrb2_490400,NA,NA,NA,NA,NA
adrb2_490600,NA,NA,NA,NA,NA
adrb2_490800,NA,NA,NA,NA,NA
adrb2_491000,NA,NA,NA,NA,NA
adrb2_491200,NA,NA,NA,NA,NA
adrb2_491400,NA,NA,NA,NA,NA
adrb2_491600,NA,NA,NA,NA,NA
adrb2_491800,NA,NA,NA,NA,NA
adrb2_492000,NA,NA,NA,NA,NA
adrb2_492200,NA,NA,NA,NA,NA
adrb2_492400,NA,NA,NA,NA,NA
adrb2_492600,NA,NA,NA,NA,NA
adrb2_492800,NA,NA,NA,NA,NA
adrb2_493000,NA,NA,NA,NA,NA
adrb2_493200,NA,NA,NA,NA,NA
adrb2_493400,NA,NA,NA,NA,NA
adrb2_493600,5,(12),(36),(75),Y
adrb2_493800,NA,NA,NA,NA,NA
adrb2_494000,NA,NA,NA,NA,NA
adrb2_494200,NA,NA,NA,NA,NA
adrb2_494400,NA,NA,NA,NA,NA
adrb2_494600,NA,NA,NA,NA,NA
adrb2_494800,NA,NA,NA,NA,NA
adrb2_495000,NA,NA,NA,NA,NA
adrb2_495200,NA,NA,NA,NA,NA
adrb2_495400,1,7,(65),(107),Y
